Type,Amount,Description,Time
Charges,50,"Charged ₦50.00 for transactions exceeding ₦10,000.00",2025-09-12 10:02:34
Withdrawal,15000,Successfully Withdrew ₦15000.00,2025-09-12 10:02:34
Deposit,19950,Deposited ₦19950.00 to 6153889318,2025-09-12 10:02:23
Withdrawal,0,Successfully Withdrew ₦0.00,2025-09-12 10:01:17
Withdrawal,500,Failed to withdraw ₦500.00,2025-09-12 10:01:12
Withdrawal,500,Successfully Withdrew ₦500.00,2025-09-12 10:00:59
Withdrawal,6000,Failed to withdraw ₦6000.00,2025-09-12 10:00:50
Transfer,3500,Transfered ₦3500.00 to 6152074765.0,2025-09-12 09:54:47
Transfer,6000,Failed to Transfer ₦6000.0 to 6152074765.0 due to insufficient balance.,2025-09-12 09:51:20
Deposit,5000,Initial deposit,2025-09-12 09:44:16
